request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
1,0,99,1,0,0,0,0,local,0.000169,0.083419,0.031712,0.000040,0.115340
2,1,99,1,0,0,5,5,local,25.008322,10.845217,0.142268,0.002748,35.998555
3,2,99,1,1,6,7,5,local,0.000061,13.856455,0.118624,0.002378,13.977518
4,3,99,1,1,6,7,3,local,0.000083,18.245981,0.230872,0.002183,18.479119
5,4,99,1,1,6,7,0,local,0.000067,11.763379,0.145888,0.000043,11.909377
6,5,99,1,1,6,7,0,local,0.000190,15.527377,0.144188,0.000030,15.671785
7,7,99,1,1,6,7,0,local,15.100315,13.246029,0.130149,0.000033,28.476526
8,7,99,1,1,6,7,0,local,0.000157,11.531949,0.143417,0.000040,11.675563
9,8,99,1,1,6,7,0,local,0.000065,16.746473,0.134322,0.000036,16.880896
10,9,99,0,0,0,4,1,global,0.000059,10.912224,0.050471,0.001186,10.963940
11,10,99,0,0,0,4,1,global,0.000055,11.036882,0.049734,0.001099,11.087770
12,12,99,0,0,0,4,0,global,12.149069,11.328324,0.053875,0.000041,23.531309
13,12,99,0,0,0,4,0,global,0.000045,15.306956,0.050827,0.000042,15.357870
14,13,99,0,0,0,4,0,global,0.000132,11.543463,0.057484,0.000029,11.601108
15,14,99,0,0,0,4,0,global,0.000166,11.352707,0.057097,0.000030,11.410000
16,15,99,0,0,0,4,0,global,0.000049,11.052570,0.053388,0.000031,11.106038
17,16,99,0,0,0,4,0,global,0.000049,13.031196,0.053491,0.000035,13.084771
18,18,99,0,0,0,4,0,global,11.373649,10.714623,0.050211,0.000028,22.138511
19,18,99,0,0,0,4,0,global,0.000154,15.376016,0.055189,0.000037,15.431396
20,19,99,1,1,6,7,0,local,0.000066,12.614456,0.148605,0.000032,12.763159
21,20,99,1,1,6,7,0,local,0.000128,11.117381,0.140493,0.000030,11.258032
22,21,99,1,1,6,7,0,local,0.000055,12.444915,0.141349,0.000032,12.586351
23,22,99,1,1,6,7,0,local,0.000129,12.807156,0.138446,0.000028,12.945759
24,23,99,1,1,6,7,0,local,0.000141,11.221436,0.152186,0.000035,11.373798
25,24,99,1,1,6,7,0,local,0.000355,14.236141,0.149019,0.000040,14.385555
26,25,99,1,1,6,7,0,local,0.000075,11.395141,0.148203,0.000030,11.543449
27,26,99,1,1,6,7,0,local,0.000339,12.144289,0.142137,0.000029,12.286794
28,27,99,1,1,6,7,0,local,0.000125,11.296671,0.151026,0.000030,11.447852
29,28,99,1,1,6,7,0,local,0.000052,11.309029,0.150806,0.000028,11.459915
30,29,99,0,0,0,4,0,global,0.000064,12.582952,0.056259,0.000033,12.639308
31,30,99,0,0,0,4,0,global,0.000316,11.738209,0.057185,0.000042,11.795752
32,31,99,0,0,0,4,0,global,0.000130,11.498250,0.058392,0.000029,11.556801
33,33,99,0,0,0,4,0,global,12.328773,11.065226,0.053030,0.000036,23.447065
34,33,99,0,0,0,4,0,global,0.000181,13.724721,0.059830,0.000029,13.784761
35,34,99,0,0,0,4,0,global,0.000124,11.654342,0.059884,0.000028,11.714378
36,35,99,0,0,0,4,0,global,0.000050,12.187609,0.058960,0.000029,12.246648
37,36,99,0,0,0,4,0,global,0.000082,14.791244,0.056409,0.000032,14.847767
38,37,99,0,0,0,4,0,global,0.000067,11.650344,0.058124,0.000030,11.708565
39,38,99,0,0,0,4,0,global,0.000139,11.514313,0.060090,0.000035,11.574577
40,39,99,1,1,6,7,0,local,0.000065,12.960940,0.150717,0.000035,13.111757
41,40,99,1,1,6,7,0,local,0.000053,11.302404,0.145598,0.000046,11.448101
42,41,99,1,1,6,7,0,local,0.000059,11.224476,0.149528,0.000032,11.374095
43,42,99,1,1,6,7,0,local,0.000062,11.685951,0.145231,0.000029,11.831273
44,43,99,1,1,6,7,0,local,0.000573,15.142071,0.141585,0.000032,15.284261
45,44,99,1,1,6,7,0,local,0.000077,12.999360,0.144207,0.000029,13.143673
46,45,99,1,1,6,7,0,local,0.000073,13.785279,0.146567,0.000029,13.931948
47,46,99,1,1,6,7,0,local,0.000124,11.532038,0.148560,0.000031,11.680753
48,47,99,1,1,6,7,0,local,0.000316,21.226478,0.181151,0.000028,21.407973
49,49,99,1,1,6,7,0,local,14.882898,14.856861,0.132554,0.000040,29.872353
50,49,99,0,0,0,4,0,global,0.000451,14.259927,0.057284,0.000029,14.317691
51,50,99,0,0,0,4,0,global,0.000055,12.643672,0.056917,0.000037,12.700681
52,51,99,0,0,0,4,0,global,0.000061,11.301846,0.062003,0.000042,11.363952
53,52,99,0,0,0,4,0,global,0.000045,11.987273,0.062468,0.000030,12.049816
54,53,99,0,0,0,4,0,global,0.000053,11.236074,0.058216,0.000028,11.294371
55,54,99,0,0,0,4,0,global,0.000126,11.344875,0.059859,0.000031,11.404891
56,55,99,0,0,0,4,0,global,0.000153,11.445792,0.058585,0.000029,11.504559
57,56,99,0,0,0,4,0,global,0.000054,11.875827,0.057827,0.000029,11.933737
58,57,99,0,0,0,4,0,global,0.000082,11.628891,0.058225,0.000029,11.687227
59,58,99,0,0,0,4,0,global,0.000056,12.620885,0.057937,0.000028,12.678906
60,59,99,1,1,6,7,0,local,0.000119,11.324382,0.149604,0.000029,11.474134
61,60,99,1,1,6,7,0,local,0.000213,11.505139,0.148166,0.000034,11.653552
62,62,99,1,1,6,7,0,local,12.069741,11.235994,0.141578,0.000029,23.447342
63,62,99,1,1,6,7,0,local,0.000102,11.854092,0.141759,0.000029,11.995982
